	L1S105	L1S140	L1S208	L1S257	L1S281	L1S57	L1S76	L1S8	L2S155	L2S175	L2S204	L2S222	L2S240	L2S309	L2S357	L2S382	L3S242	L3S294	L3S313	L3S341	L3S360	L3S378	L4S112	L4S137	L4S63	L5S104	L5S155	L5S174	L5S203	L5S222	L5S240	L6S20	L6S68	L6S93
L2S204	2.897710838517222	3.6798727640438993	3.7942296042293084	4.0676088599142375	4.016895010347508	3.272924327684044	3.015615638877819	3.220563311622429	2.108108668193993	2.7961634731497407	0.0	1.1842245048937223	3.988269250591196	1.8601531652891814	2.678258443356121	4.035979559002103	2.7422985634148365	1.6366168615290833	2.5969934090410027	1.9999061570978731	0.9062379504852996	3.058846580242275	3.3149323683352505	5.627563850286701	1.5991290650988996	1.9894619777743432	2.295809148397624	2.9697335896537025	2.2712951103672823	3.068334906193241	3.40126353814386	3.1831106119950876	3.05792332774172	2.7154410384326537
L2S222	2.7591502472390874	2.980926678411949	3.1933260235350196	3.4769156714548535	3.345380819364443	2.8726398376356843	2.522327773766981	2.842184808747544	1.8513164395189945	1.9446552394409202	1.1842245048937223	0.0	3.017521370056754	0.9697396977498104	1.623862652237054	2.908534269163464	2.0326386161897982	0.7320354140251822	1.59858901602588	1.0744432670814217	0.41200624940684794	2.365727819256571	2.7694064601897637	4.5501657679582665	2.181815888747539	1.8291102784834408	1.4608939231809515	2.0884762231719023	1.7255249039266394	2.400550007847438	2.3335562476395095	2.399550705450555	2.301894825952034	2.2516274181857634
L2S240	4.741090895688903	3.576175234973818	4.152175713446009	3.64730729169789	3.2973455935967597	4.008618340883352	3.6154103042197527	4.718098953193043	3.845716098489843	3.081339522793626	3.988269250591196	3.017521370056754	0.0	2.982735290091559	2.5894588536312027	2.650071727966085	3.577267067509364	2.9438462647280836	2.7832236511668684	3.17627176470184	3.1413114532188904	3.4346798359627195	4.0228443020778295	3.8498818822580816	4.485010513218912	2.725158961326907	1.8398953758595078	1.4279666520803787	2.150113970023371	1.8627209297149097	1.3675645555272722	1.3378903738432821	1.5162947655067207	2.2139892982503944
L2S309	3.206689327360665	2.952822545229313	3.0780394028584115	3.343263842469556	3.214542614316822	3.379785600603973	2.87961071819962	3.1181895342817803	1.2828496964565819	1.0177388313842306	1.8601531652891814	0.9697396977498104	2.982735290091559	0.0	0.9896599165271016	2.465132276200756	2.457061192385767	0.5872788450845297	0.8884793760327258	0.5503242883340307	1.2673605658973806	2.5068019044237664	1.9677219127978671	3.9499027297493505	2.214454077490444	2.2270937549640957	1.7646373083856068	2.4000442098243338	2.2221254362855185	2.8139643825066663	2.3281530318812687	2.564117665488399	2.4587475563892616	2.71946812854224
L2S357	3.696019994367361	3.2498119513616626	3.3484738289776352	3.6060254711895543	3.473945612551882	3.7515110989511893	3.308495497722239	3.413795668703138	2.002527724704981	0.8059326891655014	2.678258443356121	1.623862652237054	2.5894588536312027	0.9896599165271016	0.0	1.9008534253880482	2.6382531248769974	1.296930627635863	0.23714033841384635	1.0385344599454078	1.9321772629635134	2.7962642253918433	2.1688027438732562	3.262333716128254	3.150561310342159	2.6175593826064656	1.747352909297309	2.3792331541468097	2.482337275265507	2.993894656585236	2.0834089679774594	2.5915096233001225	2.5294856574391122	2.973918928064187
L2S382	3.6823272099693996	2.9867455012006183	3.5744220387202343	3.8879848070095373	3.4430274359231485	3.4194805322622495	3.005621313603732	3.2199160294869333	3.4925014641227885	2.254767334128355	4.035979559002103	2.908534269163464	2.650071727966085	2.465132276200756	1.9008534253880482	0.0	2.5910269174290264	2.7257169720304266	2.0721656675591653	2.226476179605408	3.2894660598842838	3.0429994486962353	2.7361539198538614	1.8007185696027002	4.516139708061978	4.007515927245687	2.801099254347166	2.5499254743994735	3.1812228591418688	3.240711126878027	1.7234737261619875	2.7811301340485763	2.765013223926228	3.4249899257443674
L3S242	1.7267446023163704	2.5599264942862687	3.136474057551188	3.8687941407427098	3.534788429967444	1.582464623164832	1.6432634845965144	1.50853997593884	3.462513581446274	3.14652338616874	2.7422985634148365	2.0326386161897982	3.577267067509364	2.457061192385767	2.6382531248769974	2.5910269174290264	0.0	2.3393802583784753	2.712038901301417	2.0774117258333638	2.304569445458317	2.140801947654155	3.6736930410216586	4.233634932137888	3.850615166231579	3.57561696319015	2.706597683967073	2.4475291661267327	2.7060809253192684	2.791829503766009	2.37228387680053	3.0391582900467093	3.000447916311789	2.9832502208922276
L3S294	3.2163565749454706	2.721052791158361	2.7488615688274773	3.0020610530254417	2.954492314293218	3.271929845369895	2.803833927122481	3.2022829234276484	1.3253187856189748	1.479967333042469	1.6366168615290833	0.7320354140251822	2.9438462647280836	0.5872788450845297	1.296930627635863	2.7257169720304266	2.3393802583784753	0.0	1.2180005458304366	0.8966426639271942	0.9737511663029074	2.1191427239596012	2.5166820704944484	4.328801544943934	2.1597098610534813	1.9632868284304363	1.6887140633802051	2.281728460217404	2.1281188796044708	2.5451866491038015	2.3196850338741286	2.5243946179680155	2.4558376387938754	2.63340159826379
L3S313	3.7240174526317262	3.2871823799866102	3.3140684844309214	3.6025917004431394	3.508710031423527	3.8414510041366934	3.3898998292698606	3.4467616737731235	1.814956268212424	0.6639372875420884	2.5969934090410027	1.59858901602588	2.7832236511668684	0.8884793760327258	0.23714033841384635	2.0721656675591653	2.712038901301417	1.2180005458304366	0.0	0.9679087920286111	1.8975947036394563	2.809263118714948	2.093175866513569	3.40041664393292	3.0168024849547024	2.6235380306609026	1.868132149552398	2.550143611572114	2.593774618523263	3.123827259420182	2.2816855899094817	2.7517210221738835	2.68317888796645	3.098518761851891
L3S341	2.844054691191678	2.8821921943621627	3.0596949405765317	3.526468440466685	3.3503562399007447	3.116295051438013	2.6708519589140383	2.6462618695558384	1.6536240606441963	1.1883710618065162	1.9999061570978731	1.0744432670814217	3.17627176470184	0.5503242883340307	1.0385344599454078	2.226476179605408	2.0774117258333638	0.8966426639271942	0.9679087920286111	0.0	1.4517122826077022	2.44455249619557	1.958557179375021	3.7281060148961953	2.5330807405717755	2.6507357429995126	1.9930995630426016	2.494019093785315	2.4064201242658907	2.977132201819314	2.331551756864114	2.753606344445404	2.646060156626589	2.8888254307573007
L3S360	2.9281441402479067	3.220866864406081	3.3937704978757126	3.5997277273406376	3.5105224107637008	3.0381889479865087	2.7234004750156036	3.1001573149424946	1.936960340707471	2.2218117289205157	0.9062379504852996	0.41200624940684794	3.1413114532188904	1.2673605658973806	1.9321772629635134	3.2894660598842838	2.304569445458317	0.9737511663029074	1.8975947036394563	1.4517122826077022	0.0	2.567853799011408	3.0361057639451934	4.92417908837285	2.0350848551150214	1.5635046900167122	1.4842665839377576	2.202683906098336	1.6808245337417174	2.4238236676093536	2.5813930514773147	2.480424746206424	2.383397879527552	2.2087347189743842
L3S378	3.352256586211866	1.1529309017365679	1.1532076403471592	1.8548485599611655	1.81859466284754	2.8523009644462336	2.4661303522075677	3.3360622219518428	2.9102291448903106	3.105176250190862	3.058846580242275	2.365727819256571	3.4346798359627195	2.5068019044237664	2.7962642253918433	3.0429994486962353	2.140801947654155	2.1191427239596012	2.809263118714948	2.44455249619557	2.567853799011408	0.0	3.9530070043369485	4.734576936512709	3.603099617002442	3.35944804850631	3.0315143465581595	2.723191866443047	3.176049244672246	2.550355363169335	2.53729448354773	3.158406387945493	3.2137591955469684	3.4426890156951613
L4S112	3.8550177858658876	3.9201347692943767	4.235142225774147	4.47108750048033	4.173053901538022	4.287467990200227	3.6935143276619216	3.6526795373764767	2.2186707813913595	1.5761658769566125	3.3149323683352505	2.7694064601897637	4.0228443020778295	1.9677219127978671	2.1688027438732562	2.7361539198538614	3.6736930410216586	2.5166820704944484	2.093175866513569	1.958557179375021	3.0361057639451934	3.9530070043369485	0.0	3.4356429118347043	2.9621214613146027	3.775088732830285	3.25836040616487	3.684786223838113	3.5124632783556637	4.20669316572914	3.3586328219723156	3.5852214830419666	3.418292504830024	3.844817966464634
L4S137	5.087060617146229	4.528997654396075	5.05192323329527	5.325207107297407	4.8755959218994365	4.952611969323229	4.571832307126326	4.498756839195901	4.812709989196201	3.3804707246257375	5.627563850286701	4.5501657679582665	3.8498818822580816	3.9499027297493505	3.262333716128254	1.8007185696027002	4.233634932137888	4.328801544943934	3.40041664393292	3.7281060148961953	4.92417908837285	4.734576936512709	3.4356429118347043	0.0	5.926341359320525	5.529778673114492	4.310898954102374	4.132541237515334	4.72038765869767	4.867945937404752	3.3056953879423525	4.207395334884884	4.180950947794655	4.910097932689309
