,study_id,fold_rare,t,p,rare_mantel_r,unrare_mantel_r,rare_unrare_mantel_r
73,833,73,-2.7562025435367383,0.006737904127521288,-0.005899128107421921,0.034261824256911155,0.9861332159354803
74,833,74,-2.821796538010569,0.005570395873271128,-0.00652918958578895,0.034261824256911155,0.9863139295941933
75,833,75,-2.810355175258878,0.005759708789259799,-0.006541419303396358,0.034261824256911155,0.9862007874490957
76,833,76,-2.794559781498294,0.0060307194520217156,-0.0061105968465941084,0.034261824256911155,0.9863466594300447
77,833,77,-2.809954909299485,0.005766436818314347,-0.006673551024869744,0.034261824256911155,0.9861075788652884
78,833,78,-2.865561149528584,0.004897537886015657,-0.007278502013161915,0.034261824256911155,0.9862107146504128
79,833,79,-2.7929037187651837,0.006059796807768469,-0.006306633018224199,0.034261824256911155,0.9861984049075921
80,833,80,-2.8426015562639835,0.005240646860528608,-0.006845040138783792,0.034261824256911155,0.9862916050085858
81,833,81,-2.756841109413789,0.0067255380963853195,-0.005804077709995179,0.034261824256911155,0.9862047785944031
82,833,82,-2.767476470898942,0.006522594145237592,-0.005979783681665192,0.034261824256911155,0.9861840956102788
83,833,83,-2.803186825354053,0.005881292249900749,-0.006444672517207145,0.034261824256911155,0.9862000415875892
84,833,84,-2.797649449247389,0.005976810558214085,-0.006375624758915339,0.034261824256911155,0.9861955798073492
85,833,85,-2.784440236390981,0.006210405455720158,-0.006206949738557785,0.034261824256911155,0.9861874974505106
86,833,86,-2.7402509614485733,0.007053602227232281,-0.005741079080091774,0.034261824256911155,0.9860908153400315
87,833,87,-2.8557645525257094,0.005041342127874993,-0.007093696595397182,0.034261824256911155,0.9862450491840062
88,833,88,-2.879441335458462,0.0047002157479310025,-0.007465237992572308,0.034261824256911155,0.98621193822778
89,833,89,-2.7715798468998187,0.006445795562872947,-0.005945607872176828,0.034261824256911155,0.9862459633254524
90,833,90,-2.7886540328179867,0.006134999161341748,-0.006273108594001681,0.034261824256911155,0.9861816780565967
91,833,91,-2.837696131824404,0.0053167459238567805,-0.006849252337542687,0.034261824256911155,0.9862442758326259
92,833,92,-2.861015904546181,0.004963783974848424,-0.007339991426037378,0.034261824256911155,0.9861286471088898
93,833,93,-2.8199880489904245,0.005599936583320364,-0.00680563966984017,0.034261824256911155,0.986111130420977
94,833,94,-2.8507130626384587,0.00511699337716931,-0.006923737975402994,0.034261824256911155,0.9863124605759578
