,study_id,fold_rare,t,p,rare_mantel_r,unrare_mantel_r,rare_unrare_mantel_r
33,632,33,-1.4437324998555332,0.18680743541202172,-0.05584415584415585,0.10295815295815297,0.9389610389610392
34,632,34,-1.4755202757184849,0.178310765475594,-0.04812409812409813,0.10295815295815297,0.9466089466089469
35,632,35,-0.7716833567008442,0.4624851768637084,0.0033189033189033198,0.10295815295815297,0.9281385281385283
36,632,36,-1.2708859564922086,0.23947685738800106,-0.05252525252525254,0.10295815295815297,0.9279942279942281
37,632,37,-1.1234388961284496,0.2938306978494638,-0.03513708513708514,0.10295815295815297,0.9299422799422801
38,632,38,-1.2779695641305482,0.23709218217640582,-0.05324675324675326,0.10295815295815297,0.9279942279942281
39,632,39,-1.2448525292878205,0.2484150163067893,-0.041414141414141424,0.10295815295815297,0.9357142857142859
40,632,40,-1.0456468059302793,0.3262868820858915,-0.010533910533910536,0.10295815295815297,0.9463203463203466
41,632,41,-1.6086705556382401,0.14635493106984288,-0.06810966810966813,0.10295815295815297,0.9401154401154403
42,632,42,-1.4506664059520322,0.18492410150359695,-0.07676767676767679,0.10295815295815297,0.9224386724386725
43,632,43,-1.4044850090980254,0.19778913005867582,-0.04761904761904763,0.10295815295815297,0.9426406926406928
44,632,44,-1.0990312144945467,0.3037254880057163,-0.03412698412698413,0.10295815295815297,0.9282828282828285
45,632,45,-1.3059870231675048,0.22785606156276206,-0.06010101010101012,0.10295815295815297,0.9243145743145745
46,632,46,-1.249621417056599,0.2467570924676643,-0.03766233766233767,0.10295815295815297,0.9393939393939396
47,632,47,-1.4016183685085042,0.1986129582676457,-0.056565656565656576,0.10295815295815297,0.9354256854256856
48,632,48,-1.158363378105652,0.280124140416659,-0.03246753246753247,0.10295815295815297,0.9360750360750362
49,632,49,-1.4336075494224705,0.1895878832162472,-0.05505050505050506,0.10295815295815297,0.938888888888889
50,632,50,-1.4894168135003456,0.17470534169846563,-0.07994227994227997,0.10295815295815297,0.9229437229437232
51,632,51,-1.420029680279147,0.1933736783632467,-0.06702741702741705,0.10295815295815297,0.9282106782106785
52,632,52,-1.585662866807086,0.15147627680550424,-0.08073593073593076,0.10295815295815297,0.9294372294372296
53,632,53,-1.3432881973570192,0.2160366006592589,-0.0538961038961039,0.10295815295815297,0.9331168831168833
54,632,54,-1.3239579271124253,0.22209442945199465,-0.039105339105339115,0.10295815295815297,0.943795093795094
55,632,55,-1.461650514700932,0.18197502318563696,-0.05101010101010102,0.10295815295815297,0.9437229437229439
